estc;bernard
N24116,T97943;1
T97982;2
T175352;4
T194594;6
T89182;7
N10319;8
T152252;9
T89184;10
N24149, T89167;11
N35672;13
T222641, N26920, T89170;14
T98545;15
T207571;16
T97946;17
T126250;18
T98542;19
T98542;20
T89169;21
T97947;22
T230781;23
T39439;24
T97980;25
N35323;26
T97948;27
T98536;28
N24138;29
N5703;30
T89168;31
T98544;32
N24109;33
T89171;35
N45719;36
N24133;39
N24134;40
T97950, T97951;41
T193578;42
T188143;44
T155730;45
T127063, N16356;46
T194614;47
T70715;48
N24135;49
T212733;50
T63449;53
T123110;54
N18249;55
T119967;56
T98532;57
T98575;58
T128313;59
T130263;60
T89166;61
T97977;63
N52322;64
T175930;65
T165251;66
T128606;67
T131121;68
T160272;69
T124338;70
T97952;71
N24110;72
T97990;73
T119955;74
T178720;75
N15829;76
N4192;77
T129749;78
T121955;79
T155092;80
N24115;81
T97953;83
T118097;84
T163762;85
T179988;86
T118537;87
N5701;88
N12117;89
N15828;91
T177413;92
N17381;93
N17381;94
T97920;95
T117520;96
N24154;97
T97954;98
T98582;99
T167189;100
T170346;102
T9498;103
N24112;104
N29780;105
T89012;106
T89014;107
N24148;108
T97985;109
T9498;110
T123111;111
N32316;112
T123112;113
T199827;114
N46802;115
